survey_food_code,Display_Name,condiment_portion_size,condiment_portion_code,Grains,Vegtables,Friuts,Milk,Meat,Solid_Fats,Added_Sugars,Calories,Saturated Fats
11111000,Whole milk,1/2  cup,10205,0,0,0,0.5002,0,34.78464,0,73.2,2.2692
11111000,Whole milk,2 Tablespoons,30000,0,0,0,0.12505,0,8.69616,0,18.3,0.5673
11112210,1% milk (low fat),1/2  cup,10205,0,0,0,0.5002,0,9.75024,0,51.24,0.7686
11112210,1% milk (low fat),2 Tablespoons,30000,0,0,0,0.12505,0,2.43756,0,12.81,0.19215
11113000,Fat free milk (skim),1/2  cup,10205,0,0,0,0.4998,0,0,0,41.65,0.147
11113000,Fat free milk (skim),2 Tablespoons,30000,0,0,0,0.12495,0,0,0,10.4125,0.03675
11320000,"Soymilk, plain (calcium fortified)",1/2  cup,10205,0,0,0,0,0,0,0,49,0.25725
12110100,Light cream (coffee or table cream),2 Tbsp,30000,0,0,0,0,0,52.137,0,58.5,3.606
12120100,Half & Half,2 Tbsp,30000,0,0,0,0,0,31.257,0,39.26,2.16232
12140000,Whipped cream (sweetened),1/4 cup,10205,0,0,0,0,0,93.20378,6.69242,103.53,6.44385
12210200,Coffee Mate creamer (liquid),2 Tbsp,30000,0,0,0,0,0,26.919,13.22425,40.8,0.582
12210250,Coffee Mate Lite creamer (liquid),2 Tbsp,30000,0,0,0,0,0,9.45,10.57648,20.7,0.27
12310100,Sour cream,2 Tbsp,60597,0,0,0,0,0,54.234,0,61.525,3.75188
14104010,"Cheese (cheddar, Swiss)",1 slice (1 oz),61937,0,0,0,0.66679,0,83.35751,0,114.2505,5.97902
14109030,Low fat cheddar or Swiss,1 slice (1 oz),61937,0,0,0,0.9999,0,11.21384,0,50,0.925
14301010,Cream cheese (regular),1 Tbsp,21000,0,0,0,0,0,45.50535,0,50.605,3.18565
14303010,Low fat cream cheese,1 Tbsp,21000,0,0,0,0,0,23.76,0,34.65,1.6635
14420100,Cheese spread or dip,2 Tablespoons,10205,0,0,0,0.53802,0,57.39795,3.62887,88.45,4.06565
27111410,Chili con carne (with beans),1/4 cup,10205,0,0.17526,0,0,0.43434,12.64729,1.06309,66.04,0.99695
28500000,Chicken gravy,1/4 cup,10205,0.30048,0.00179,0,0.00416,0.08032,27.3587,0.08704,47.005,0.83895
28500000,Turkey gravy,1/4 cup,10205,0.30048,0.00179,0,0.00416,0.08032,27.3587,0.08704,47.005,0.83895
28500040,Beef gravy,1/4 cup,10205,0.37164,0.00117,0,0.00058,0.09436,8.61343,0.00947,30.8725,0.66988
41205070,Hummus,2 Tbsp,21000,0,0.0021,0.0123,0,0.0999,0,0,53.1,0.336
56205010,"White rice, no fat added",1/2  cup,10043,1.00014,0,0,0,0,0,0,101.91,0.0553
56205110,"Brown rice, no fat added",1/2  cup,10043,1.00035,0,0,0,0,0,0,107.25,0.16575
58150110,Fried rice (plain),1/2  cup,10205,0.68309,0.16517,0,0,0.17098,3.60801,0,125.33,0.7553
61204010,Lemon juice,1 Tbsp,30000,0,0,0.06253,0,0,0,0,3.8125,0
63101120,Applesauce (unsweetened),1/4 cup,10149,0,0,0.2501,0,0,0,0,26.23,0.0061
63409010,Guacamole,1/4 cup,10205,0,0.00291,0.25,0,0,0,0,91.4525,1.20577
64401000,Vinegar,1 Tbsp,1025,0,0,0,0,0,0,0,2.016,0
74101000,Tomato (raw),1 slice,61400,0,0.1112,0,0,0,0,0,3.6,0.008
74303000,Ketchup (catsup),1 Tbsp,30000,0,0.0849,0,0,0,0,9.49884,14.25,0.012
74402100,Salsa,1 Tbsp,21000,0,0.10608,0,0,0,0,0,4.48,0.0048
74406010,Barbeque sauce,2 Tablespoons,10205,0.0875,0.00625,0,0,0,0,5.19112,23.4375,0.08438
74406100,Steak sauce (A-1),1 Tbsp,21000,0,0.04864,0.00688,0,0,0,3.07136,9.76,0.0064
74406500,Cocktail sauce,2 Tablespoons,10205,0,0.125,0.01297,0,0,0,15.65827,27.3,0.02389
75113000,Lettuce,1 leaf,61362,0,0.07272,0,0,0,0,0,0.8,0.0008
75230010,Sauerkraut (no fat added),1/4 cup,10205,0,0.24992,0,0,0,0,0,6.745,0.0142
75503020,Pickle relish,2 tsp,61579,0,0.0408,0,0,0,0,1.31657,13,0.006
75506010,Mustard,1 tsp,22000,0,0,0,0,0,0,0,3.3,0.008
81101000,Butter,1 tsp,61632,0,0,0,0,0,35.85,0,35.85,2.5685
81102020,Tub margraine,1 tsp,21000,0,0,0,0,0,0,0,33.55176,0.60777
81104010,Reduced calorie spread (margarine type),1 tsp,61631,0,0,0,0,0,0,0,17.25,0.385
81302050,Tartar sauce,1 Tbsp,21000,0.01771,0.00734,0,0,0.01541,0.54043,1.45116,74.304,1.1088
81302060,Horseradish sauce,1 Tbsp,21000,0,0.00056,0,0,0,25.6788,0,29.26,1.7766
82101000,Vegetable oil,1 tsp,21000,0,0,0,0,0,0,0,40,0.57
83101000,Blue cheese dressing,1 Tbsp,21000,0,0,0,0.03106,0.03519,7.87506,1.28571,77.112,1.5147
83104000,French dressing,1 Tbsp,21000,0,0.00406,0,0,0,0,8.38784,71.292,0.8814
83106000,Italian dressing (oil and vinegar),1 Tbsp,21000,0,0,0,0,0,0,4.33665,42.777,0.65709
83107000,Mayonnaise (regular),1 Tbsp,21000,0,0,0,0,0.02346,0.53033,0.00673,98.946,1.63944
83110000,Miracle whip salad dressing,1 Tbsp,21000,0.03793,0,0,0,0.00956,0.62975,2.9365,57.33,0.7203
83112500,Creamy dressing (ranch),1 Tbsp,21000,0,0.00191,0,0,0,2.80079,2.30093,71.442,1.12455
83200100,Low-calorie salad dressing,1 Tbsp,21000,0,0.00875,0,0.00065,0.00081,0.16767,4.98982,23.814,0.1296
83203250,Fat-free mayonnaise-type dressing,1 Tbsp,21000,0.0752,0,0,0,0,3.88368,6.20253,13.44,0.096
83204000,Low calorie mayonnaise,1 Tbsp,21000,0.10015,0,0.00078,0,0.00203,0.19796,3.42056,36.192,0.5148
91101010,White sugar (granulated or lump),1 tsp,22000,0,0,0,0,0,0,16.254,16.254,0
91101020,Powdered sugar (confectioners sugar),1 tsp,22000,0,0,0,0,0,0,9.48177,9.725,0.0005
91102010,Brown sugar,1 tsp,22000,0,0,0,0,0,0,17.14365,17.342,0
91300010,Syrup (regular),1 Tbsp,21000,0,0,0,0,0,0,49.47393,53,0.004
91302010,Honey,1 Tbsp,21000,0,0,0,0,0,0,63.84,63.84,0
91361010,Sweet and sour sauce,1 Tbsp,21000,0.0657,0,0,0,0,0,10.0913,14.1,0.00015
91401000,Jelly (all flavors),1 Tbsp,21000,0,0,0.02432,0,0,0,27.46698,50.54,0.0019
91406500,All-fruit preserves,1 Tbsp,21000,0,0,0.0753,0,0,0,0,36.6,0.012
