Food_Code,Display_Name,Grains,Vegetables,Fruits,Milk,Meats,Solid_Fats,Added_Sugars,Calories,Saturated_Fats
12350000,Sour cream dip,0.04799,0.0407,0,0,0,105.6485,1.57001,133.65,7.36898
13110100,"Ice cream, regular",0,0,0,0.29393,0,130.99968,95.20488,267.33,9.0307
13110120,"Ice cream, rich",0,0,0,0.2516,0.0962,213.06672,96.1034,368.52,15.2884
13110200,Soft serve ice cream,0,0,0,0.38233,0,170.39808,123.83793,347.73,11.7467
13120100,"Ice cream bar, chocolate covered",0,0,0,0.09744,0,112.32144,45.54761,169.12,9.5872
13120100,"Ice cream bar, chocolate covered",0,0,0,0.16008,0,184.52808,74.82821,277.84,15.7504
13120500,Ice cream sandwich,0.53454,0,0,0.09912,0,49.46265,48.40002,143.37,3.2332
13130300,Light ice cream,0,0,0,0.7598,0,45.60372,70.88353,216.15,3.3929
13130600,Light soft serve ice cream,0,0,0,0.7175,0,39.6585,0,220.5,2.8525
13135000,Light ice cream sandwich,0.5436,0,0,0.2652,0,21.2112,41.22339,129.6,1.368
13140100,Light ice cream bar,0,0,0,0.25648,0,84.15288,37.81981,153.44,7.728
13140900,Light fudgesicle,0,0,0,0.40661,0,27.86337,37.92188,121.91,2.0367
13150000,Sherbet,0,0,0.11387,0.21423,0,18.20376,151.04761,277.92,2.2388
13150000,Sherbet,0,0,0.03894,0.07326,0,6.22512,51.65359,95.04,0.7656
13160150,"Low fat, low sugar ice milk",0.04176,0,0,0.43344,0.08928,7.9704,73.98561,152.64,0.8928
14104010,"Cheese (cheddar, Swiss)",0,0,0,0.66444,0,83.06347,0,113.8475,5.95793
14104010,"Cheese (cheddar, Swiss)",0,0,0,0.39984,0,49.9851,0,68.51,3.5853
14104400,Feta or goat cheese,0,0,0,0.6615,0,70.62862,0,99,5.60625
14104400,Feta or goat cheese,0,0,0,0.67032,0,71.57034,0,100.32,5.681
14107030,Mozzarella cheese (part skim),0,0,0,0.66679,0,49.90734,0,85.617,3.59194
14109030,Low fat cheddar or Swiss,0,0,0,0.95229,0,10.67985,0,48,0.892
14109030,Low fat cheddar or Swiss,0,0,0,0.52905,0,5.93325,0,27,0.496
14201010,"Cottage cheese, creamed",0,0,0,0.20055,0,42.2604,0,108.15,2.9925
14201500,Ricotta cheese,0,0,0,0.5,0,56.93855,0,95.94,4.06515
14204010,Lowfat cottage cheese,0,0,0,0.24973,0,9.92592,0,81.36,0.7345
14301010,Cream cheese (regular),0,0,0,0,0,45.50535,0,50.605,3.18565
14301010,Cream cheese (regular),0,0,0,0,0,31.383,0,34.9,2.197
14301010,Cream cheese (regular),0,0,0,0,0,88.9708,0,98.9415,6.2285
14303010,Low fat cream cheese,0,0,0,0,0,23.76,0,34.65,1.6635
14303010,Low fat cream cheese,0,0,0,0,0,15.84,0,23.1,1.109
14410200,American cheese (processed),0,0,0,0.37044,0,48.56922,0,70.56,3.2697
14410200,American cheese (processed),0,0,0,0.49833,0,65.33717,0,94.92,4.39853
14410200,American cheese (processed),0,0,0,0.3087,0,40.47435,0,58.8,2.72475
14410350,Fat-free American cheese,0,0,0,0.49392,0,0.6237,0,31.08,0.105
14410350,Fat-free American cheese,0,0,0,0.66444,0,0.83903,0,41.81,0.14125
14410350,Fat-free American cheese,0,0,0,0.38102,0,0.48114,0,23.976,0.081
14420100,Cheese spread or dip,0,0,0,0.60976,0,65.05101,4.11272,100.24333,4.60774
14420100,Cheese spread or dip,0,0,0,1.07604,0,114.7959,7.25774,176.9,8.1313
14620100,Cream cheese dip,0,0.0036,0,0,0.0066,76.2912,0.28282,106.2,5.67
14650100,Cheese sauce,0.12636,0,0,0.47871,0,70.91348,0,109.35,3.65107
14650150,"Cheese sauce, low fat",0.11178,0.00061,0,0.5589,0.00182,39.96196,0.3061,79.5825,1.69493
14650160,Alfredo sauce,0,0,0,0.45502,0,223.76291,0,249.075,15.65527
14660200,Fried cheese sticks,1.17744,0,0,2.60568,0.22044,273.537,4.39833,502.92,16.3548
21101120,Grilled steak (eat lean & fat),0,0,0,0,6.74832,123.5628,0,516.12,11.9544
21101120,Grilled steak (eat lean & fat),0,0,0,0,8.99776,164.7504,0,688.16,15.9392
21101120,Grilled steak (eat lean & fat),0,0,0,0,5.06124,92.6721,0,387.09,8.9658
